Company name,LA type,Start date,End date
Carespace Australia Support Services Pty Ltd,WA DAMA,28-Mar-2025,27-Mar-2030
BENIPAL BROTHERS PTY LTD,WA DAMA,28-Mar-2025,27-Mar-2030
CATHOLIC EDUCATION OFFICE,Northern Territory DAMA,28-Mar-2025,27-Mar-2030
Viv Foods Pty Ltd,Far North Queensland DAMA,28-Mar-2025,27-Mar-2030
TEAGHLACH ENTERPRISE PTY LTD,Company Specific,28-Mar-2025,27-Mar-2030
Complete Pty Ltd,Company Specific,28-Mar-2025,27-Mar-2030
ACCESS ENGINEERING GROUP PTY LTD,Company Specific,28-Mar-2025,27-Mar-2030
Quality Rugs and More Pty Ltd,Skilled Refugee Pilot,27-Mar-2025,26-Mar-2030
IVEGA GROUP PTY LTD,Industry - On-Hire,27-Mar-2025,26-Mar-2030
SYDNEY NEW COMMUNITY CHURCH INCORPORATED,Industry - Minister of Religion,27-Mar-2025,26-Mar-2030
Islamic Society of Central Queensland Inc,Industry - Minister of Religion,27-Mar-2025,26-Mar-2030
Austral Almonds Management Pty Ltd,Industry - Horticulture,27-Mar-2025,26-Mar-2030
PURESEA INVESTMENTS PTY LTD,Industry - Fishing,27-Mar-2025,26-Mar-2030
Olive and Angelo Pty Ltd,Industry – Premium Dining,27-Mar-2025,26-Mar-2030
TARIPTA FARM PTY LTD,Industry - Dairy,27-Mar-2025,26-Mar-2030
T & AR TROPIANO,WA DAMA,27-Mar-2025,26-Mar-2030
THE CARERS' PHONE PTY LTD,South Australia Regional DAMA,27-Mar-2025,26-Mar-2030
GURU CARE AUTOMOTIVE PTY LTD,Far North Queensland DAMA,27-Mar-2025,26-Mar-2030
NORTH WEST MOTOR GROUP PTY LTD,East Kimberley DAMA,27-Mar-2025,26-Mar-2030
Warroo Game Meats Pty Ltd,Industry - Meat,26-Mar-2025,25-Mar-2030
F&J Services (CBD) Pty Ltd,Industry – Premium Dining,26-Mar-2025,25-Mar-2030
NQFD PTY LTD,Townsville DAMA,26-Mar-2025,25-Mar-2030
VERDANT HOLDINGS PTY LTD,Pilbara DAMA,26-Mar-2025,25-Mar-2030
TR Group PTY LTD,Orana DAMA,26-Mar-2025,25-Mar-2030
RNS CLEANING SERVICES PTY LTD,Northern Territory DAMA,26-Mar-2025,25-Mar-2030
EVERT OPALS PTY LTD,Far North Queensland DAMA,26-Mar-2025,25-Mar-2030
G BISHOPS TRANSPORT SERVICES PTY LTD,East Kimberley DAMA,26-Mar-2025,25-Mar-2030
MULTICULTURAL CHRISTIAN FELLOWSHIP OF AUSTRALIA INCORPORATED,Industry - Minister of Religion,25-Mar-2025,24-Mar-2030
4 SEAS PTY LTD,Industry - Fishing,25-Mar-2025,24-Mar-2030
J&S PARSONS HOLDINGS PTY LTD,Goldfields DAMA,25-Mar-2025,24-Mar-2030
KGI Logistics Pty Ltd,WA DAMA,25-Mar-2025,24-Mar-2030
Simran WA Logistics Pty Ltd,WA DAMA,25-Mar-2025,24-Mar-2030
SAMCHA HOLDINGS PTY LTD,WA DAMA,25-Mar-2025,24-Mar-2030
WESTERN HEALTHCARE PTY LTD,South West DAMA,25-Mar-2025,24-Mar-2030
"CAREY, JOHN WAYNE",South West DAMA,25-Mar-2025,24-Mar-2030
PHILIPS & JOHNS TRADING PTY LTD,South Australia Regional DAMA,25-Mar-2025,24-Mar-2030
BRIDGEWATER PUB PTY LTD,South Australia Regional DAMA,25-Mar-2025,24-Mar-2030
R Kaur & G Sahota & L Sahota & A Singh,Far North Queensland DAMA,25-Mar-2025,24-Mar-2030
DES EYE SURGERY PTY LTD,Skilled Refugee Pilot,24-Mar-2025,23-Mar-2030
First GC Pty Ltd,Industry - Meat,24-Mar-2025,23-Mar-2030
PMC HOSPITALITY PTY. LTD.,Industry – Premium Dining,24-Mar-2025,23-Mar-2030
TWG GROUP RESOURCES PTY LTD,Industry – Premium Dining,24-Mar-2025,23-Mar-2030
Gordon Pastoral Pty Ltd,Industry - Dairy,24-Mar-2025,23-Mar-2030
STEP NINE PTY LTD,WA DAMA,24-Mar-2025,23-Mar-2030
WA SAND Supply & Haulage Pty Ltd,WA DAMA,24-Mar-2025,23-Mar-2030
VIRK TRANSPORT SOLUTIONS PTY LTD,WA DAMA,24-Mar-2025,23-Mar-2030
STYGIAN NOMINEES PTY. LTD.,WA DAMA,24-Mar-2025,23-Mar-2030
Tung Transport Pty Ltd,WA DAMA,24-Mar-2025,23-Mar-2030
EMBRY CARE SERVICES PTY LTD,South Australia Regional DAMA,24-Mar-2025,23-Mar-2030
WHITE LINE TRANSPORT (AUST.) PTY. LTD.,South Australia Regional DAMA,24-Mar-2025,23-Mar-2030
NICOLA'S MACHINERY PTY LTD,South Australia Regional DAMA,24-Mar-2025,23-Mar-2030
Postal Angels Pty Ltd,Orana DAMA,24-Mar-2025,23-Mar-2030
MINH NHAN PTY LTD,Northern Territory DAMA,24-Mar-2025,23-Mar-2030
4S Group Pty Ltd,Great South Coast DAMA,24-Mar-2025,23-Mar-2030
YELLOW LEAF DINING PTY LTD,Far North Queensland DAMA,24-Mar-2025,23-Mar-2030
IONSKI PTY LTD,Far North Queensland DAMA,24-Mar-2025,23-Mar-2030
CHINA HOME PTY LTD,Far North Queensland DAMA,24-Mar-2025,23-Mar-2030
M.S. WHOLESALERS PTY. LTD.,Far North Queensland DAMA,24-Mar-2025,23-Mar-2030
Glass Wave Pty Ltd,East Kimberley DAMA,24-Mar-2025,23-Mar-2030
VICTORIA CITY TILING PTY LTD,Skilled Refugee Pilot,21-Mar-2025,20-Mar-2030
MANNUS2 PTY LTD,Industry - Meat,21-Mar-2025,20-Mar-2030
S&J McClure Investments No2 Pty Ltd,WA DAMA,21-Mar-2025,20-Mar-2030
ELEVATE CONSTRUCT PTY LTD,South Australia Regional DAMA,21-Mar-2025,20-Mar-2030
BARUNGA VILLAGE INC,South Australia Regional DAMA,21-Mar-2025,20-Mar-2030
MUELLER AUTOMOTIVE PTY LTD,Far North Queensland DAMA,21-Mar-2025,20-Mar-2030
VIETNAM GRACE CHURCH BRISBANE INC.,Industry - Minister of Religion,20-Mar-2025,19-Mar-2030
Mata Durga Temple Religious & Cultural Inc.,Industry - Minister of Religion,20-Mar-2025,19-Mar-2030
JTGC DEVELOPMENT PTY LTD,Industry – Premium Dining,20-Mar-2025,19-Mar-2030
ESPERANCE FRESH FOOD PTY LTD,Goldfields DAMA,20-Mar-2025,19-Mar-2030
SIXTH EASTWAY PTY LTD,Skilled Refugee Pilot,19-Mar-2025,18-Mar-2030
ELMAR FARMS PTY. LTD.,Industry - Dairy,02-Dec-2024,01-Dec-2029
CAMBODIAN BUDDHIST ASSOCIATION OF VICTORIA INCORPORATED,Industry - Minister of Religion,16-Jul-2025,15-Jul-2030
M & N BLAND PTY. LTD.,Industry - Dairy,16-Jul-2025,15-Jul-2030
VASSE AUTOMOTIVE PTY LTD,South West DAMA,16-Jul-2025,15-Jul-2030
Bethel Bible Baptist Church Inc.,Industry - Minister of Religion,15-Jul-2025,14-Jul-2030
DRAGE BOILERMAKING SERVICES PTY LTD,Goldfields DAMA,15-Jul-2025,14-Jul-2030
TOM'S BROOK TRADING PTY LTD,Goldfields DAMA,15-Jul-2025,14-Jul-2030
BIG LAKE FARMING PTY LTD,WA DAMA,15-Jul-2025,14-Jul-2030
T.F. & J.M. ROBINSON PTY LTD,WA DAMA,15-Jul-2025,14-Jul-2030
NIPPON FOOD ART PTY LTD,WA DAMA,15-Jul-2025,14-Jul-2030
SM HEAVY MOVERS PTY LTD,WA DAMA,15-Jul-2025,14-Jul-2030
JULIETTE'S GROUP PTY LTD,Townsville DAMA,15-Jul-2025,14-Jul-2030
PERFECT MEDICAL AND DENTAL CLINIC PTY LTD,South Australia Regional DAMA,15-Jul-2025,14-Jul-2030
Topfield Farms Pty Ltd,South Australia Regional DAMA,15-Jul-2025,14-Jul-2030
LAYLO PTY LTD,South Australia Regional DAMA,15-Jul-2025,14-Jul-2030
RPK FAMILY PTY LTD,Orana DAMA,15-Jul-2025,14-Jul-2030
N PARKES MOTEL PTY LTD,Orana DAMA,15-Jul-2025,14-Jul-2030
Tjuwanpa Outstation Resource Centre (Aboriginal Corporation),Northern Territory DAMA,15-Jul-2025,14-Jul-2030
DEEMAT PTY. LIMITED,Northern Territory DAMA,15-Jul-2025,14-Jul-2030
NEPTUNE NT PTY LTD,Northern Territory DAMA,15-Jul-2025,14-Jul-2030
Catholic Education Sandhurst Limited,Goulburn Valley DAMA,15-Jul-2025,14-Jul-2030
Alfa Locksmiths & Security Solutions Pty Ltd,Far North Queensland DAMA,15-Jul-2025,14-Jul-2030
SFT Trio Pty Ltd,Far North Queensland DAMA,15-Jul-2025,14-Jul-2030
KUNUNURRA CLEANING SERVICES PTY LTD,East Kimberley DAMA,15-Jul-2025,14-Jul-2030
LAUNCESTON FULL GOSPEL CHURCH INC,Industry - Minister of Religion,14-Jul-2025,13-Jul-2030
Toberfish Pty Ltd,Industry - Fishing,14-Jul-2025,13-Jul-2030
BAPTISTCARE WA LIMITED,Industry - Aged Care,14-Jul-2025,13-Jul-2030
R.L BIELBY & S.J LYNEHAM,Industry - Pork,11-Jul-2025,10-Jul-2030
TOP MULTIPLIER PTY LTD,Industry - Pork,11-Jul-2025,10-Jul-2030
KELLETT STREET PTY LTD,Industry – Premium Dining,11-Jul-2025,10-Jul-2030
The Trustee for Otway Milk Farm Trust,Industry - Dairy,11-Jul-2025,10-Jul-2030
VIEW PARK HOLDINGS PTY. LTD.,Industry - Dairy,11-Jul-2025,10-Jul-2030
REDSAIL HOLDINGS PTY LTD,WA DAMA,11-Jul-2025,10-Jul-2030
LOGISTIC SOLUTIONS PERTH PTY LTD,WA DAMA,11-Jul-2025,10-Jul-2030
D M Stanich & Co Pty Ltd,WA DAMA,11-Jul-2025,10-Jul-2030
Ashley Starcevich & Co Pty Ltd,WA DAMA,11-Jul-2025,10-Jul-2030
BOLDSTAR ENTERPRISES PTY LTD,WA DAMA,11-Jul-2025,10-Jul-2030
L AND J ARNOTT INVESTMENTS PTY LTD,Northern Territory DAMA,11-Jul-2025,10-Jul-2030
R & R ACCOUNTING PTY LTD,Northern Territory DAMA,11-Jul-2025,10-Jul-2030
TRAVEL & LEISURE AUSTRALIA PTY LTD,South West DAMA,10-Jul-2025,09-Jul-2030
Cable Beach Tavern Pty Ltd,East Kimberley DAMA,10-Jul-2025,09-Jul-2030
Factor 6 Pty Ltd,WA DAMA,09-Jul-2025,08-Jul-2030
Rafia Bari Pty Ltd,WA DAMA,09-Jul-2025,08-Jul-2030
REDEEMED CARE INCORPORATED,WA DAMA,09-Jul-2025,08-Jul-2030
Elite Linen Pty Ltd,WA DAMA,09-Jul-2025,08-Jul-2030
The Spirited Goat PTY LTD,Townsville DAMA,09-Jul-2025,08-Jul-2030
CAVES ROAD CONSTRUCTIONS PTY LTD,South West DAMA,09-Jul-2025,08-Jul-2030
Percie Group Pty Ltd,Orana DAMA,09-Jul-2025,08-Jul-2030
LMMR Pty Ltd,Northern Territory DAMA,09-Jul-2025,08-Jul-2030
DEVA SHORT STAY PTY LTD,Northern Territory DAMA,09-Jul-2025,08-Jul-2030
NT ENERGY CONTRACTING PTY LTD,Northern Territory DAMA,09-Jul-2025,08-Jul-2030
WACE Group Pty Ltd,Northern Territory DAMA,09-Jul-2025,08-Jul-2030
THE LIEBIG PTY. LTD.,Great South Coast DAMA,09-Jul-2025,08-Jul-2030
STOCKMAN'S EGGS PTY LTD,Far North Queensland DAMA,09-Jul-2025,08-Jul-2030
Cairns Ever Cool Pty Ltd,Far North Queensland DAMA,09-Jul-2025,08-Jul-2030
Team Tree Lopper Pty Ltd,East Kimberley DAMA,09-Jul-2025,08-Jul-2030
PAB MAC PTY LTD,East Kimberley DAMA,09-Jul-2025,08-Jul-2030
B FORD & C.J FORD,Industry - Pork,08-Jul-2025,07-Jul-2030
Agriexchange Pty Ltd,Industry - Horticulture,08-Jul-2025,07-Jul-2030
ST CLAIR FARMS PTY. LTD.,Industry - Dairy,08-Jul-2025,07-Jul-2030
A.M KENT & K.G KENT & S.C KENT & T.D KENT,Industry - Dairy,08-Jul-2025,07-Jul-2030
MAXI CARE PLUS PTY LTD,Company Specific,08-Jul-2025,07-Jul-2030
OUR REDEEMER LUTHERAN CHURCH,Industry - Minister of Religion,07-Jul-2025,06-Jul-2030
KLK FARMS PTY LTD,Industry - Horticulture,07-Jul-2025,06-Jul-2030
HURRICANE'S MANAGEMENT PTY LTD,Industry – Premium Dining,07-Jul-2025,06-Jul-2030
MUSCOR PTY LTD,Industry - Dairy,07-Jul-2025,06-Jul-2030
JPC INVESTMENTS (WA) PTY LTD,WA DAMA,07-Jul-2025,06-Jul-2030
CAPRAL LIMITED,WA DAMA,07-Jul-2025,06-Jul-2030
MCCONVILLE ENTERPRISES PTY LTD,South West DAMA,07-Jul-2025,06-Jul-2030
L & F BAKERY PTY LTD,South Australia Regional DAMA,07-Jul-2025,06-Jul-2030
HOTEL NEWMAN PTY LTD,Pilbara DAMA,07-Jul-2025,06-Jul-2030
COTTBEACH PTY LTD,Northern Territory DAMA,07-Jul-2025,06-Jul-2030
GARV VANSH PTY LTD,Northern Territory DAMA,07-Jul-2025,06-Jul-2030
FRONTIER MIGRATION SOLUTIONS PTY LTD,Northern Territory DAMA,07-Jul-2025,06-Jul-2030
Halcyon (AUST) PTY LTD,Far North Queensland DAMA,07-Jul-2025,06-Jul-2030
DOMESHELTER AUSTRALIA PTY LTD,WA DAMA,05-Jul-2025,04-Jul-2030
GHS REGIONAL WA PTY LTD,WA DAMA,05-Jul-2025,04-Jul-2030
BASANT HAULAGE PTY LTD,WA DAMA,05-Jul-2025,04-Jul-2030
HOPBROKER PTY LTD,South West DAMA,05-Jul-2025,04-Jul-2030
SAMARITAN COLLEGE,South Australia Regional DAMA,05-Jul-2025,04-Jul-2030
SONSAN PTY. LIMITED,Pilbara DAMA,05-Jul-2025,04-Jul-2030
Almighty Industries Pty Limited,Orana DAMA,05-Jul-2025,04-Jul-2030
VIRIDIAN GLASS PTY LTD,Orana DAMA,05-Jul-2025,04-Jul-2030
JMJ DISABILITY SERV PTY LIMITED,Northern Territory DAMA,05-Jul-2025,04-Jul-2030
AUSTFISH PTY LTD,Industry - Fishing,04-Jul-2025,03-Jul-2030
MOUNT ISA CITY COUNCIL,Townsville DAMA,04-Jul-2025,03-Jul-2030
KINGSTON ESTATE WINES PTY LTD,South Australia Regional DAMA,04-Jul-2025,03-Jul-2030
PINELANDS SCRAP CAR REMOVAL PTY LTD,Northern Territory DAMA,04-Jul-2025,03-Jul-2030
"Thos, Laurent",Far North Queensland DAMA,04-Jul-2025,03-Jul-2030
LACEVIEW PTY LTD,Industry - Dairy,03-Jul-2025,02-Jul-2030
JSH AUTOMOTIVE PTY LTD,Townsville DAMA,03-Jul-2025,02-Jul-2030
HONG KIEU PTY LTD,South Australia Regional DAMA,03-Jul-2025,02-Jul-2030
WOKS UP TENNANT CREEK PTY LTD,Northern Territory DAMA,03-Jul-2025,02-Jul-2030
SRI SAI BHAGAWATHI PTY LTD,Northern Territory DAMA,03-Jul-2025,02-Jul-2030
TOP END EARLY LEARNING CENTRE INCORPORATED,Northern Territory DAMA,03-Jul-2025,02-Jul-2030
TOSONI FARMING PTY LTD,Far North Queensland DAMA,03-Jul-2025,02-Jul-2030
FIRST CHOICE TILING & WATERPROOFING PTY LTD,Skilled Refugee Pilot,02-Jul-2025,01-Jul-2030
FINDMEA Pty Ltd,Industry - On-Hire,02-Jul-2025,01-Jul-2030
L & H EXPRESS PTY LTD,Industry - Horticulture,02-Jul-2025,01-Jul-2030
ROTI PLACE WEST END PTY LTD,Industry – Premium Dining,02-Jul-2025,01-Jul-2030
Dalrymple Villa Inc,Industry - Aged Care,02-Jul-2025,01-Jul-2030
EAST TO WEST PLANT SERVICES PTY LTD,WA DAMA,02-Jul-2025,01-Jul-2030
SAI HS KALYAN PTY LTD,Northern Territory DAMA,02-Jul-2025,01-Jul-2030
Quality Marine NT Pty Ltd,Northern Territory DAMA,02-Jul-2025,01-Jul-2030
New World Engineering Automation Pty Ltd,Industry - On-Hire,01-Jul-2025,30-Jun-2030
Osan Ability Assist Pty Ltd,Industry - Aged Care,01-Jul-2025,30-Jun-2030
GOLDFIELDS BAPTIST COLLEGE INCORPORATED,Goldfields DAMA,01-Jul-2025,30-Jun-2030
SGS FREIGHTLINES PTY LTD,WA DAMA,01-Jul-2025,30-Jun-2030
DARWIN INNOVATION HUB ADVISORY PTY LIMITED,Northern Territory DAMA,01-Jul-2025,30-Jun-2030
CHAMBERS TRADE SERVICES PTY LTD,Northern Territory DAMA,01-Jul-2025,30-Jun-2030
RADHASHYAM PTY LTD,Goulburn Valley DAMA,01-Jul-2025,30-Jun-2030
Greek Orthodox Community of South Australia Incorporated,Industry - Minister of Religion,30-Jun-2025,29-Jun-2030
MAHAMAKUT RAGAWITHAYALAI FOUNDATION,Industry - Minister of Religion,30-Jun-2025,29-Jun-2030
J CLOVER TILING PTY LTD,WA DAMA,30-Jun-2025,29-Jun-2030
COLLINS TRANSPORT GROUP PTY LTD,South Australia Regional DAMA,30-Jun-2025,29-Jun-2030
TMH CORPORATION PTY LTD,South Australia Regional DAMA,30-Jun-2025,29-Jun-2030
Cabania One Pty Ltd,Northern Territory DAMA,30-Jun-2025,29-Jun-2030
SKLIROS PRODUCE PTY. LTD.,Northern Territory DAMA,30-Jun-2025,29-Jun-2030
VIV ENTERPRISES PTY LTD,Far North Queensland DAMA,30-Jun-2025,29-Jun-2030
G.J FISHER & J.L FISHER,Goldfields DAMA,28-Jun-2025,27-Jun-2030
PHYLOS INCORPORATED,WA DAMA,28-Jun-2025,27-Jun-2030
TOSUM PTY LTD,WA DAMA,28-Jun-2025,27-Jun-2030
apache investments australia pty ltd,WA DAMA,28-Jun-2025,27-Jun-2030
FREEFLOW WA PTY LTD,WA DAMA,28-Jun-2025,27-Jun-2030
ELITE TILE GROUP PTY LTD,WA DAMA,28-Jun-2025,27-Jun-2030
BUNBURY FOODS PTY LTD,South West DAMA,28-Jun-2025,27-Jun-2030
CINNAMON CLUB NORWOOD PTY LTD,South Australia Regional DAMA,28-Jun-2025,27-Jun-2030
Myrtle Grove Supportive Care Pty Ltd,South Australia Regional DAMA,28-Jun-2025,27-Jun-2030
SPG HARVEST PTY LTD,Pilbara DAMA,28-Jun-2025,27-Jun-2030
C.C BLEACH & H HUYNH,Pilbara DAMA,28-Jun-2025,27-Jun-2030
VYAS FAMILY PTY LTD,Orana DAMA,28-Jun-2025,27-Jun-2030
KAN SUSHI N POKE' DUBBO PTY LTD,Orana DAMA,28-Jun-2025,27-Jun-2030
THE WARRNAMBOOL HOTEL PTY LTD,Great South Coast DAMA,28-Jun-2025,27-Jun-2030
AGRIKAL PTY. LTD.,Goulburn Valley DAMA,28-Jun-2025,27-Jun-2030
Kalpack Pty Ltd,Goulburn Valley DAMA,28-Jun-2025,27-Jun-2030
COOWONGA FARM PTY LTD,Industry - Dairy,27-Jun-2025,26-Jun-2030
OZZI TECH AND WEB SOLUTION PTY LTD,South Australia Regional DAMA,27-Jun-2025,26-Jun-2030
DEEP CIVIL PTY LTD,Skilled Refugee Pilot,26-Jun-2025,25-Jun-2030
NUNDAH PASTORAL PTY LIMITED,Industry - Dairy,26-Jun-2025,25-Jun-2030
Wheatfields Incorporated,Industry - Aged Care,26-Jun-2025,25-Jun-2030
FORWARD AGRICULTURE PTY LTD & C.R FORWARD & R.H FORWARD,WA DAMA,26-Jun-2025,25-Jun-2030
ALBURY LINEN AND TEXTILE SERVICES PTY LTD,Orana DAMA,26-Jun-2025,25-Jun-2030
SAMYANG PTY LTD,Far North Queensland DAMA,26-Jun-2025,25-Jun-2030
JSFS AU PTY LTD,Adelaide City Tech and Innovation DAMA,26-Jun-2025,25-Jun-2030
REVILO FAMILY INVESTMENT PTY LTD,Skilled Refugee Pilot,25-Jun-2025,24-Jun-2030
BRUCERON PTY LTD,Industry - Pork,25-Jun-2025,24-Jun-2030
GL & DL Dyke,Industry - Dairy,25-Jun-2025,24-Jun-2030
M.D GRAY & P.M GRAY,Industry - Dairy,25-Jun-2025,24-Jun-2030
FREO TRADING PTY LTD,WA DAMA,25-Jun-2025,24-Jun-2030
MARGARET RIVER NOUGAT COMPANY PTY LTD,South West DAMA,25-Jun-2025,24-Jun-2030
K DEILEY & M.J DEILEY,East Kimberley DAMA,25-Jun-2025,24-Jun-2030
KLEMBY FARMS PTY LTD,Industry - Dairy,24-Jun-2025,23-Jun-2030
CJ WORLD PTY LTD,WA DAMA,24-Jun-2025,23-Jun-2030
KTPIPER INVESTMENTS PTY LTD,South West DAMA,24-Jun-2025,23-Jun-2030
OLYMPIC DAM SPORTING CLUB INCORPORATED,South Australia Regional DAMA,24-Jun-2025,23-Jun-2030
WARRAMUNDA VILLAGE LIMITED,Goulburn Valley DAMA,24-Jun-2025,23-Jun-2030
Australian Strawberry Company Pty Limited,Industry - Horticulture,23-Jun-2025,22-Jun-2030
A AND P BARBARIC,Industry - Fishing,23-Jun-2025,22-Jun-2030
DOWNIE FAMILY HOLDINGS PTY LTD,Industry - Dairy,23-Jun-2025,22-Jun-2030
All Tree Solutions WA Pty Ltd,WA DAMA,23-Jun-2025,22-Jun-2030
WESTRAC PTY LTD,WA DAMA,23-Jun-2025,22-Jun-2030
MAYFAR NOMINEES PTY LTD,WA DAMA,23-Jun-2025,22-Jun-2030
H.D CHAPMAN & R.T CHAPMAN & S.K CHAPMAN & S.M,Townsville DAMA,23-Jun-2025,22-Jun-2030
Black Swan Enterprises Pty Ltd,South West DAMA,23-Jun-2025,22-Jun-2030
Australian Rainforest Honey Pty Ltd,Orana DAMA,23-Jun-2025,22-Jun-2030
FLOURISH PLANTS NORTH QUEENSLAND PTY LTD,Far North Queensland DAMA,23-Jun-2025,22-Jun-2030
PROGRAMMED SKILLED WORKFORCE PTY LTD,Industry - On-Hire,20-Jun-2025,19-Jun-2030
GARTH ALCWYN JOHNSTONE,Industry - Dairy,20-Jun-2025,19-Jun-2030
VONIJIM PTY. LIMITED,Townsville DAMA,20-Jun-2025,19-Jun-2030
Norwest Contracting and Rail Pty Ltd,Pilbara DAMA,20-Jun-2025,19-Jun-2030
W.R. ELECTRICAL PTY LTD,Company Specific,20-Jun-2025,19-Jun-2030
NOBLE FUELS PTY LTD,WA DAMA,19-Jun-2025,18-Jun-2030
WATER TECHNOLOGY PTY. LTD.,WA DAMA,19-Jun-2025,18-Jun-2030
Chipper Family Pty Ltd,WA DAMA,19-Jun-2025,18-Jun-2030
SGA Roads Pty Ltd,WA DAMA,19-Jun-2025,18-Jun-2030
CORE DENTAL CERAMICS PTY LTD,WA DAMA,19-Jun-2025,18-Jun-2030
WARAKIRRI 2 PTY. LTD.,WA DAMA,19-Jun-2025,18-Jun-2030
NQSS ENTERPRISES PTY LTD,Townsville DAMA,19-Jun-2025,18-Jun-2030
RAC TOURISM ASSETS PTY LTD,South West DAMA,19-Jun-2025,18-Jun-2030
DONNYBROOK PANEL BEATERS PTY LTD,South West DAMA,19-Jun-2025,18-Jun-2030
J KIM & M KO PTY LTD,South West DAMA,19-Jun-2025,18-Jun-2030
TK TILING AND STONE PTY LTD,South West DAMA,19-Jun-2025,18-Jun-2030
KESUM PTY LTD,South West DAMA,19-Jun-2025,18-Jun-2030
EXPLORER HOSPITALITY PTY LTD,South West DAMA,19-Jun-2025,18-Jun-2030
GB BROTHERS PTY LTD,South Australia Regional DAMA,19-Jun-2025,18-Jun-2030
AMA GROUP SOLUTIONS PTY LTD,South Australia Regional DAMA,19-Jun-2025,18-Jun-2030
Sushi Zen 2830 Pty Ltd,Orana DAMA,19-Jun-2025,18-Jun-2030
PERLOWSKI HOLDINGS PTY LTD,Orana DAMA,19-Jun-2025,18-Jun-2030
SUNSET FARMING COMPANY PTY. LTD.,Far North Queensland DAMA,19-Jun-2025,18-Jun-2030
JONG'S FLOWERS PTY LTD,South Australia Regional DAMA,18-Jun-2025,17-Jun-2030
Qualton PTY LTD,Skilled Refugee Pilot,17-Jun-2025,16-Jun-2030
DIVYA AGRICULTURE MANAGEMENT PTY LTD,Industry - On-Hire,17-Jun-2025,16-Jun-2030
TEN FARMS PTY LTD,Industry - Horticulture,17-Jun-2025,16-Jun-2030
GV INDEPENDANT PACKERS PTY. LTD.,Industry - Horticulture,17-Jun-2025,16-Jun-2030
KERNITA LODGE PTY LTD,Industry - Dairy,17-Jun-2025,16-Jun-2030
LJL (VIC) PTY LTD,Industry - Dairy,17-Jun-2025,16-Jun-2030
Ku-Ring-Gai Neighbourhood Centre Ltd,Industry - Aged Care,17-Jun-2025,16-Jun-2030
Specialist Disability Housing Pty Ltd,WA DAMA,17-Jun-2025,16-Jun-2030
Tydeman Pty Ltd,WA DAMA,17-Jun-2025,16-Jun-2030
BAILEY WARD NOMINEES PTY LTD & DEVEREUX INDUSTRIES PTY LTD & WROOK INDUSTRIES PTY LTD,WA DAMA,17-Jun-2025,16-Jun-2030
DAISYOU PTY LTD,South Australia Regional DAMA,17-Jun-2025,16-Jun-2030
PACETECH PTY LTD,South Australia Regional DAMA,17-Jun-2025,16-Jun-2030
Z LI & P QIN,Great South Coast DAMA,17-Jun-2025,16-Jun-2030
Hemingway's Brewery Cairns Pty Ltd,Far North Queensland DAMA,17-Jun-2025,16-Jun-2030
T&C Do & Son Pty Ltd,Industry - Horticulture,16-Jun-2025,15-Jun-2030
Freedom Dairying Pty Ltd,Industry - Dairy,16-Jun-2025,15-Jun-2030
MKCB PTY LTD,WA DAMA,16-Jun-2025,15-Jun-2030
Twilight Payment Pty Ltd,WA DAMA,16-Jun-2025,15-Jun-2030
Leeder & Co Pty Ltd,WA DAMA,16-Jun-2025,15-Jun-2030
NETCHEK PTY. LTD.,Industry - Horticulture,13-Jun-2025,12-Jun-2030
CSIDE Cairns Pty Ltd,Industry - Fishing,13-Jun-2025,12-Jun-2030
Foote Dairies Pty Ltd,Industry - Dairy,13-Jun-2025,12-Jun-2030
KENNA DAIRY PTY LTD,Industry - Dairy,13-Jun-2025,12-Jun-2030
HALENVY PTY LIMITED,Industry - Aged Care,13-Jun-2025,12-Jun-2030
Bacchus Wine Bar Pty Ltd,South Australia Regional DAMA,13-Jun-2025,12-Jun-2030
T.J. & R.A. SCANLON PTY. LTD.,South Australia Regional DAMA,13-Jun-2025,12-Jun-2030
HEYWOOD RURAL HEALTH,Great South Coast DAMA,13-Jun-2025,12-Jun-2030
GIANTS PIZZERIA PTY LTD,Far North Queensland DAMA,13-Jun-2025,12-Jun-2030
BEVERAGE MARKETING AUSTRALIA PTY. LTD.,Far North Queensland DAMA,13-Jun-2025,12-Jun-2030
FITZROY RIVER LODGE PTY LTD,East Kimberley DAMA,13-Jun-2025,12-Jun-2030
Road Trains of Australia Pty Ltd,WA DAMA,12-Jun-2025,11-Jun-2030
WE CARE NQ PTY LTD,Townsville DAMA,12-Jun-2025,11-Jun-2030
REGAL COLLABORATIONS PTY LTD,South West DAMA,12-Jun-2025,11-Jun-2030
King Kira People Solutions Pty Ltd,Pilbara DAMA,12-Jun-2025,11-Jun-2030
ACTIVE MEDICAL SUPPLIES PTY LTD,Orana DAMA,12-Jun-2025,11-Jun-2030
YING SING FAMILY PTY LTD,Orana DAMA,12-Jun-2025,11-Jun-2030
End Church Limited,Industry - Minister of Religion,11-Jun-2025,10-Jun-2030
"ROBINSON, GARY",Industry - Fishing,11-Jun-2025,10-Jun-2030
BLAKEWEST PTY. LTD.,WA DAMA,11-Jun-2025,10-Jun-2030
K & P KERAI PTY LTD AND N & A KERAI PTY LTD,WA DAMA,11-Jun-2025,10-Jun-2030
MAK Services Pty Ltd,South Australia Regional DAMA,11-Jun-2025,10-Jun-2030
